website_name,Discount Percentage average,website
darty,25.29893617021277,https://www.darty.com/nav/operation/bons-plans-gros-electromenager#dartyclic=PO-bons-plan_BLGF_deco-nos-prom_0_gros-elec
franprix,31.875,https://www.franprix.fr/courses/promotions
franprix,31.875,https://www.franprix.fr/courses/promotions
dell,20.0,https://www.dell.com/fr-fr/shop/offres/ordinateurs-portables
auchan,7.5,https://www.auchan.fr/boutique/promos
nike,39.34375,https://www.nike.com/fr/w/promotions-3yaep
