Discount Percentage
50
50
25
25
50
50
50
50
50
50
50
50
20
20
50
50
50
50
50
50
50
50
50
50
50
50
50
25
20
25
20
25
25
25
25
25
25
25
60
60
60
60
60
25
50
50
